registered_charity_number,charity_name,income_donations_and_legacies,income,expenditure
1115413,INTERNATIONAL FINANCE FACILITY FOR IMMUNISATION COMPANY,1055921478,1059428626,171737027
299745,MOTABILITY,1047863000,1054593000,74872000
1076822,SAVE THE CHILDREN INTERNATIONAL,873210092,876468492,860421478
268369,THE CHARITIES AID FOUNDATION,654936000,706322000,683398000
1036733,THE ARTS COUNCIL OF ENGLAND,492132000,743138000,690403000
1089464,CANCER RESEARCH UK,423338640,656107415,703553315
1151815,AKO FOUNDATION,302394000,439773000,23628000
207544,ROYAL COMMONWEALTH SOCIETY FOR THE BLIND,217735000,261221000,250405000
209131,THE BRITISH COUNCIL,186701865,1288716795,1295819317
1178403,THE RAMSBURY MANOR FOUNDATION,185886000,185925000,2401000
209603,THE ROYAL NATIONAL LIFEBOAT INSTITUTION,178714000,199171000,172549000
261017,MACMILLAN CANCER SUPPORT,169013000,194889000,147803000
1140062,THE FRANCIS CRICK INSTITUTE LIMITED,160730000,164524000,189063000
1186569,ASSOCIATION OF NHS CHARITIES,157679000,158354000,51529000
220949,THE BRITISH RED CROSS SOCIETY,147200000,305900000,295300000
1074857,THE ARCHBISHOPS' COUNCIL,143714149,146473477,148270995
328158,ISLAMIC RELIEF WORLDWIDE,133157385,148990396,129491478
225971,BRITISH HEART FOUNDATION,132500000,336500000,356500000
1077961,WATCH TOWER BIBLE AND TRACT SOCIETY OF BRITAIN,132490597,144317948,99584773
1176080,THE DRUE HEINZ CHARITABLE TRUST,132205736,132234851,7371254
214779,THE SALVATION ARMY,130190000,240822000,235517000
207076,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,119016000,146914000,125042000
1187700,THE PRUDENCE TRUST,115797928,116376894,821126
234714,STEWARDSHIP SERVICES (UKET) LIMITED,114321000,119363000,123941000
209617,THE GUIDE DOGS FOR THE BLIND ASSOCIATION,107900000,125900000,111900000
1185976,COVENT GARDEN IP LTD,105086485,110200304,1379130
275946,THE KINGDOM HALL TRUST,104413082,104413082,4010790
227523,DOGS TRUST,103524761,111474980,97410672
202918,OXFAM,102900000,367400000,384600000
207994,MARIE CURIE,102364000,165604000,157006000
1072612,THE UNITED KINGDOM COMMITTEE FOR UNICEF,102078000,109368000,109280000
1105851,CHRISTIAN AID,99200000,106000000,113600000
219099,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,97007000,116525000,140543000
1153551,UBS UK Donor-Advised Foundation,96875000,100847000,28958000
232492,RHODES TRUST - PUBLIC PURPOSES FUND,96661102,117680441,28840139
251988,THE GATSBY CHARITABLE FOUNDATION,94878000,105200000,61482000
216401,THE NATIONAL SOCIETY FOR THE PREVENTION OF CRUELTY TO CHILDREN,93518000,117602000,111314000
1099682,PRISM THE GIFT FUND,91177322,93635294,52560864
287780,THE BRITISH FILM INSTITUTE,90224000,113522000,124709000
213890,THE SAVE THE CHILDREN FUND,88443000,288730000,283161000
219279,THE ROYAL BRITISH LEGION,87117000,143114000,160970000
1139904,THE MASTER CHARITABLE TRUST,86745231,87899943,44211791
1149110,DENISE COATES FOUNDATION,85000000,88706774,9910052
265464,TEARFUND,83616000,85057000,85210000
296645,ALZHEIMER'S SOCIETY,82835000,113888000,113248000
802052,BBC CHILDREN IN NEED,82302016,85785774,58889421
205846,THE NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUTY,81656000,680952000,699355000
1160024,GREAT ORMOND STREET HOSPITAL CHILDREN'S CHARITY,80979000,91464000,78743000
1079020,SOUTHAMPTON ROW TRUST LIMITED,79488000,81937000,83242000
1185265,"NATIONAL OCEANOGRAPHY CENTRE",77588000,80573000,57585000
1079309,THE FOOTBALL FOUNDATION,71458588,73411025,60559798
326568,CHARITY PROJECTS,70904000,78029000,105552000
1164887,UK ONLINE GIVING FOUNDATION,69653835,71171256,71708883
285908,WORLD VISION UK,69460247,69579570,67249130
1081247,WWF - UK,69046000,80843000,78280000
1026588,MEDECINS SANS FRONTIERES (UK),68229492,72675269,69386612
1149740,JISC,67782000,184348000,174545000
1128267,AGE UK,67740000,130953000,136353000
327489,CHARITIES TRUST,65238470,67376920,46650378
1180640,THE ALBERT HUNT TRUST,63647677,65467252,2470444
208217,THE PEOPLE'S DISPENSARY FOR SICK ANIMALS,62703000,92168000,91343000
1091043,THE CHILDREN'S INVESTMENT FUND FOUNDATION (UK),61757650,75404150,298637562
1153376,NPT Transatlantic Limited,59089065,59960721,44857975
1079675,THE PRINCE'S TRUST,57508000,75946000,77302000
266518,AGA KHAN FOUNDATION (UNITED KINGDOM),56552000,58989000,45038000
288701,WATERAID,55488000,91261000,95047000
211775,ROYAL OPERA HOUSE COVENT GARDEN FOUNDATION,54035000,118016000,127509000
1110538,PAYPAL GIVING FUND UK,53093700,53094529,52839946
1082947,CRISIS UK,52510000,63419000,54000000
226227,THE ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE,51888000,95932000,92866000
1163457,THE SEQUOIA TRUST,51875000,51938761,4731731
203644,CATS PROTECTION,50668000,71972000,66473000
206394,BATTERSEA DOGS' AND CATS' HOME,50483014,52713469,43603226
326840,THE GOSLING FOUNDATION LIMITED,50000000,53579612,747773
1102949,AHMADIYYA MUSLIM JAMAAT INTERNATIONAL,48484000,48484000,32142000
1164358,THE ORMISTON TRUST,48216000,275480000,251466000
251549,ELIM FOURSQUARE GOSPEL ALLIANCE,47685742,65939956,62948822
1077216,COMPASSION UK CHRISTIAN CHILD DEVELOPMENT,46549000,46809000,46404000
1000851,AMANAT CHARITY TRUST,45233689,46500110,48153815
205533,NUFFIELD HEALTH,45100000,779900000,872300000
1000566,THE SALVATION ARMY INTERNATIONAL TRUST,43018000,53441000,52969000
1184013,RNLI LIFESAVING ENDOWMENT,42319000,42418000,30000
216250,BARNARDO'S,41877000,296448000,297870000
263710,"SHELTER, NATIONAL CAMPAIGN FOR HOMELESS PEOPLE LIMITED",41049000,73008000,72560000
1137208,THE PREMIER LEAGUE CHARITABLE FUND,40361322,40506078,34581039
1149889,CARIBBEAN BIODIVERSITY FUND,39396450,41590807,7210441
274467,ACTIONAID,39251141,50313117,49126097
287785,THE SHAW TRUST LIMITED,39075000,223123000,217533000
1077089,ALZHEIMER'S RESEARCH UK,37979783,40826465,39770767
278387,ACHISOMOCH AID COMPANY LIMITED,37211770,37276880,37158080
242451,THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS (GREAT BRITAIN),37043000,38148000,48741000
1005541,PROSTATE CANCER UK,35368000,36016000,30618000
241083,THE LONDON DIOCESAN FUND,35300000,44400000,47200000
1034245,CYNGOR CELFYDDYDAU CYMRU,34267000,52361000,49099000
1160384,CATHOLIC AGENCY FOR OVERSEAS DEVELOPMENT,33667000,45443000,45931000
258197,PARKINSON'S DISEASE SOCIETY OF THE UNITED KINGDOM,33068000,36316000,28541000
1046769,THE SIGRID RAUSING TRUST,33031824,33128713,34272734
257516,THE GRACE TRUST,32919550,127452335,107124438
525774,"NATIONAL MUSEUM OF WALES",32656000,38342000,32529000
1105056,MUSLIM HANDS,32424371,32458760,27653563
264818,THE DONKEY SANCTUARY,32411000,36962000,42519000
1179589,UK DRI LTD,32174834,32200278,30576206
1095197,THE ROYAL MARSDEN CANCER CHARITY,32136000,33157447,42625774
257615,THE GERSHON COREN CHARITABLE FOUNDATION ALSO KNOWN AS THE MURIEL AND GUS COREN CHARITABLE FOUNDATION,31731629,31974538,532619
1128341,PENNY APPEAL,31485948,31500017,30906894
1081849,WORLD ANIMAL PROTECTION,31222000,31372000,31279000
224223,THE ROYAL NATIONAL THEATRE,30900000,106900000,114800000
1187301,QUADRATURE CLIMATE FOUNDATION,30818928,30818964,24326203
215199,THE BRITISH DIABETIC ASSOCIATION,30463000,37655000,36661000
216647,INTERNATIONAL BIBLE STUDENTS ASSOCIATION,29974428,69242184,72514989
1105319,THE AGAINST MALARIA FOUNDATION,29602038,30941829,52243903
1142413,THE BADUR FOUNDATION,29596328,29653967,557756
1183715,THE YUSUF AND FARIDA HAMIED FOUNDATION,29245462,29245462,28785165
224392,BLUE CROSS,28908000,36049000,35900000
801518,THE BARRY AND PEGGY HIGH FOUNDATION,28300000,28457308,203613
800058,UNITED BIBLE SOCIETIES ASSOCIATION,28068698,35454489,31565759
1125383,THE ROYAL ACADEMY OF ARTS,27958536,45324508,37784073
1162536,BREAKTHROUGH FOUNDATION,27451703,27466936,25552629
1139224,MOONDANCE FOUNDATION,27090000,43511845,15901352
1153537,UBS OPTIMUS FOUNDATION UK,26570686,26642585,25809349
219830,MIND (THE NATIONAL ASSOCIATION FOR MENTAL HEALTH),26467000,58279000,59949000
233699,WESTMINSTER ROMAN CATHOLIC DIOCESAN TRUST AND OTHER TRUST FUNDS ADMINISTERED BY THE WESTMINSTER ROMAN CATHOLIC DIOCESAN TRUSTEE,26356000,54037000,50086000
313757,VOLUNTARY SERVICE OVERSEAS,25810000,60186000,61948000
1077265,THE PRIORY OF ENGLAND AND THE ISLANDS OF THE MOST VENERABLE ORDER OF THE HOSPITAL OF ST. JOHN OF JERUSALEM,25800000,92300000,99200000
802559,JEWISH CARE,25559000,62033000,61356000
299081,AHMADIYYA MUSLIM ASSOCIATION UNITED KINGDOM,25402444,25402444,20308408
276035,PLAN INTERNATIONAL UK,25385000,62609000,59185000
1184946,STANDARD CHARTERED FOUNDATION,25215594,25225936,6262726
1120878,THE DAVID AND CLAUDIA HARDING FOUNDATION,25000000,25006239,585769
1176805,HAND IN HAND FOR AID AND DEVELOPMENT,24667319,24667319,20170901
211015,STROKE ASSOCIATION,24275000,35618000,38493000
1100277,RUGBY FOOTBALL FOUNDATION,24105296,24523496,25079835
1154288,HUMAN APPEAL,24093343,29679055,26044751
327114,LLOYDS BANK FOUNDATION FOR ENGLAND & WALES,23862692,24608006,28203826
1016532,THE NATIONAL DEAF CHILDREN'S SOCIETY,23600000,24327000,28079000
292411,CENTREPOINT SOHO,23448000,44379000,38890000
242552,UNITED SYNAGOGUE,23437000,41587000,37662000
298909,SOUTHBANK CENTRE,23212000,60421000,55040000
1160558,BREAST CANCER NOW,23002000,40037000,39651000
1160919,THE JAMES AND DEIRDRE DYSON TRUST,22863625,22987862,487317
1098106,RELIEF INTERNATIONAL UK,22509245,82269447,84142954
